## Checklist de Controles

| Control | Estado |
|--------|--------|
| Least Privilege | ❌ No |
| Disaster Recovery Plans | ❌ No |
| Password Policies | ❌ No |
| Separation of Duties | ❌ No |
| Firewall | ✔️ Sí |
| Intrusion Detection System (IDS) | ❌ No |
| Backups | ✔️ Sí |
| Antivirus Software | ✔️ Sí |
| Manual Monitoring for Legacy Systems | ❌ No |
| Encryption | ❌ No |
| Password Management System | ❌ No |
| Locks (Physical Security) | ✔️ Sí |
| CCTV Surveillance | ✔️ Sí |
| Fire Detection/Prevention | ❌ No |
| PCI DSS - Authorized users access card data | ❌ No |
| PCI DSS - Card data stored securely | ❌ No |
| PCI DSS - Encryption implemented | ❌ No |
| PCI DSS - Secure password policies | ❌ No |
| GDPR - EU data secured | ❌ No |
| GDPR - Breach notification plan (72h) | ❌ No |
| GDPR - Data classified/inventoried | ❌ No |
| GDPR - Privacy policies enforced | ❌ No |
| SOC - User access policies established | ❌ No |
| SOC - PII/SPII confidential/private | ❌ No |
| SOC - Data integrity validated | ❌ No |
| SOC - Data available to authorized users | ✔️ Sí |
